order_book_id,date,prev_close,close,volume,open,low,total_turnover,high
000300.XSHG,2025-07-28,4127.1634,4135.8242,22275981500.0,4128.1993,4112.9677,406792873973.3,4146.12
000300.XSHG,2025-07-29,4135.8242,4152.0247,23080788000.0,4132.6833,4117.5772,428764310973.8,4153.3307
000300.XSHG,2025-07-30,4152.0247,4151.2379,24985304800.0,4148.9405,4127.4301,445168467668.0,4185.2064
000300.XSHG,2025-07-31,4151.2379,4075.5912,26708740600.0,4141.5612,4063.6662,492142571738.8,4141.8243
000300.XSHG,2025-08-01,4075.5912,4054.9286,19622182600.0,4069.9254,4040.462,359685164163.4,4085.3543
000300.XSHG,2025-08-04,4054.9286,4070.7023,16227590200.0,4037.9378,4037.9378,295976826632.4,4070.7023
000300.XSHG,2025-08-05,4070.7023,4103.45,17885199900.0,4080.3877,4075.5836,306934255765.6,4106.2969
000300.XSHG,2025-08-06,4103.45,4113.4852,17667615500.0,4100.4283,4098.3544,307674626124.8,4116.7085
000300.XSHG,2025-08-07,4113.4852,4114.666,19864190200.0,4120.2822,4094.8214,358108366983.7,4129.7382
000300.XSHG,2025-08-08,4114.666,4104.9669,17317120100.0,4109.2734,4097.4157,308507687634.7,4122.2104
000300.XSHG,2025-08-11,4104.9669,4122.5106,19044371600.0,4110.2939,4103.605,360685826235.0,4134.2462
000300.XSHG,2025-08-12,4122.51059,4143.8252,17728782300.0,4123.5762,4121.2243,383088423330.0,4153.2948
000300.XSHG,2025-08-13,4143.8252,4176.5776,21393499900.0,4150.5037,4147.1991,462776745465.3,4186.748
000300.XSHG,2025-08-14,4176.57759,4173.3131,22110359500.0,4179.965,4165.9376,485075642622.0,4220.3109
000300.XSHG,2025-08-15,4173.3131,4202.3533,26132756600.0,4162.4205,4157.495,518686873500.8,4214.7291
000300.XSHG,2025-08-18,4202.3533,4239.4125,30147910200.0,4218.2471,4203.4191,635365867184.5,4272.9602
000300.XSHG,2025-08-19,4239.4125,4223.3741,25081877100.0,4241.7651,4215.2075,553536203259.6,4264.2303
000300.XSHG,2025-08-20,4223.3741,4271.3958,24648177300.0,4208.4005,4190.5559,538815306146.9,4272.1463
000300.XSHG,2025-08-21,4271.3958,4288.0707,25903001400.0,4284.3712,4273.6523,558521268967.4,4308.4472
000300.XSHG,2025-08-22,4288.0707,4377.9977,29043489700.0,4287.3633,4287.3633,675935075408.9,4378.3881
000300.XSHG,2025-08-25,4377.9977,4469.2217,35809000600.0,4416.2924,4404.7761,823681964472.7,4472.6525
000300.XSHG,2025-08-26,4469.2217,4452.5905,27062139500.0,4453.3526,4435.5275,627950450229.2,4476.803
000300.XSHG,2025-08-27,4452.5905,4386.1266,33313389800.0,4458.8399,4386.1266,785098482973.5,4494.9126
000300.XSHG,2025-08-28,4386.12659,4463.782,29683453600.0,4378.0351,4364.171,739423602221.4,4464.8028
000300.XSHG,2025-08-29,4463.782,4496.7591,35193894700.0,4455.8034,4452.3632,831194066157.9,4516.8395
000300.XSHG,2025-09-01,4496.7591,4523.7111,32036670800.0,4516.8787,4487.5304,770378288126.9,4528.1342
000300.XSHG,2025-09-02,4523.7111,4490.4528,30393256600.0,4521.9828,4454.4169,777999297964.1,4548.8937
000300.XSHG,2025-09-03,4490.4528,4459.8296,25432021700.0,4501.3388,4427.5176,655697116709.1,4510.7303
000300.XSHG,2025-09-04,4459.8296,4365.2085,30793460900.0,4461.2503,4327.5068,773124596998.1,4465.4967
000300.XSHG,2025-09-05,4365.2085,4460.3249,24962565700.0,4365.6083,4350.2974,664166970946.5,4466.5603
000300.XSHG,2025-09-08,4460.32489,4467.5733,26763838200.0,4467.1693,4438.0698,683630879769.1,4482.763
000300.XSHG,2025-09-09,4467.5733,4436.2584,22137546000.0,4448.739,4412.6914,562861103958.4,4472.093
000300.XSHG,2025-09-10,4436.2584,4445.3649,20359764600.0,4438.2998,4414.5937,535539349489.1,4466.6325
000300.XSHG,2025-09-11,4445.36489,4548.0345,25326405100.0,4438.839,4427.9242,693156671397.7,4548.0345
000300.XSHG,2025-09-12,4548.0345,4521.998,26644200300.0,4544.5905,4517.7897,689576075691.4,4564.6665
000300.XSHG,2025-09-15,4521.99799,4533.0557,23188567800.0,4534.8866,4522.4958,613314652419.1,4566.9053
000300.XSHG,2025-09-16,4533.0557,4523.3367,24926920600.0,4539.9217,4494.7875,613728334805.9,4552.419
000300.XSHG,2025-09-17,4523.3367,4551.023,23571647200.0,4517.2855,4503.7959,608454200521.1,4556.0296
000300.XSHG,2025-09-18,4551.023,4498.109,30985982600.0,4546.0319,4454.9886,839987127411.0,4573.8331
000300.XSHG,2025-09-19,4498.109,4501.9195,22504400000.0,4499.0906,4491.8437,603887059817.1,4533.0919
000300.XSHG,2025-09-22,4501.9195,4522.608,19645995600.0,4512.0251,4487.1299,563149164266.0,4523.8695
000300.XSHG,2025-09-23,4522.608,4519.7781,25282706200.0,4536.7569,4459.7281,680513630695.8,4560.7319
000300.XSHG,2025-09-24,4519.7781,4566.0708,22048260800.0,4495.2659,4494.1133,629161495484.1,4567.4948
000300.XSHG,2025-09-25,4566.0708,4593.4875,22982333300.0,4563.9827,4558.8424,669866986618.6,4613.9486
000300.XSHG,2025-09-26,4593.4875,4550.0487,20848211400.0,4576.9142,4550.0487,598723903173.9,4597.8472
000300.XSHG,2025-09-29,4550.0487,4620.0528,27435887700.0,4555.0342,4541.4252,693395231241.2,4647.5691
000300.XSHG,2025-09-30,4620.0528,4640.6935,24798035900.0,4629.8987,4616.2243,664624101862.0,4647.5031
000300.XSHG,2025-10-09,4640.6935,4709.482,34767869600.0,4662.1133,4651.9895,862208005908.4,4726.3449
000300.XSHG,2025-10-10,4709.482,4616.8341,31902089900.0,4679.4983,4600.9646,792743047250.5,4692.5858
000300.XSHG,2025-10-13,4616.8341,4593.9785,31501035400.0,4490.8661,4490.8661,714001634395.3,4601.8072
000300.XSHG,2025-10-14,4593.9785,4539.0644,37295403000.0,4634.0543,4520.9258,808959003201.4,4641.4492
000300.XSHG,2025-10-15,4539.0644,4606.2879,28477185500.0,4544.2431,4526.834,607326345325.6,4608.8239
